INDEX,CHANNEL,SAMPLE,Cell_ID,StoreTypeChannel,NielsenArea,StoreType
CERVEZAS,MONT,20000211,10003437,Autoservicios,1:atlantico,1:supermercados
CERVEZAS,MONT,20000211,10003616,Autoservicios,6:centro,1:supermercados
CERVEZAS,MONT,20000211,10003547,Autoservicios,3:santanderes,1:supermercados
CERVEZAS,MONT,20000211,10003436,Autoservicios,1:atlantico,1:supermercados
CERVEZAS,MONT,20000211,10003644,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003724,Consumo Local,8:pacifico,11:bar
CERVEZAS,MONT,20000211,10003513,Autoservicios,2:antioquia_choco,1:supermercados
CERVEZAS,MONT,20000211,10003486,Autoservicios,1:atlantico,1:supermercados
CERVEZAS,MONT,20000211,10003546,Autoservicios,3:santanderes,1:supermercados
CERVEZAS,MONT,20000211,10003569,Autoservicios,4:cundi_boy,1:supermercados
CERVEZAS,MONT,20000211,10003438,Autoservicios,1:atlantico,1:supermercados
CERVEZAS,MONT,20000211,10003601,Autoservicios,5:eje_cafetero,1:supermercados
CERVEZAS,MONT,20000211,10003548,Autoservicios,3:santanderes,1:supermercados
CERVEZAS,MONT,20000211,10003567,Autoservicios,4:cundi_boy,1:supermercados
CERVEZAS,MONT,20000211,10003439,Autoservicios,1:atlantico,1:supermercados
CERVEZAS,MONT,20000211,10003600,Autoservicios,5:eje_cafetero,1:supermercados
CERVEZAS,MONT,20000211,10003514,Autoservicios,2:antioquia_choco,1:supermercados
CERVEZAS,MONT,20000211,10003626,Autoservicios,7:llanos,1:supermercados
CERVEZAS,MONT,20000211,10003511,Autoservicios,2:antioquia_choco,1:supermercados
CERVEZAS,MONT,20000211,10003512,Autoservicios,2:antioquia_choco,1:supermercados
CERVEZAS,MONT,20000211,10003515,Autoservicios,2:antioquia_choco,1:supermercados
CERVEZAS,MONT,20000211,10003643,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003642,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003510,Autoservicios,4:cundi_boy,1:supermercados
CERVEZAS,MONT,20000211,10003640,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003627,Autoservicios,7:llanos,1:supermercados
CERVEZAS,MONT,20000211,10003628,Autoservicios,7:llanos,1:supermercados
CERVEZAS,MONT,20000211,10003641,Autoservicios,8:pacifico,1:supermercados
CERVEZAS,MONT,20000211,10003509,Autoservicios,4:cundi_boy,1:supermercados
CERVEZAS,MONT,20000211,10003549,Autoservicios,3:santanderes,1:supermercados
CERVEZAS,MONT,20000211,10003566,Autoservicios,4:cundi_boy,1:supermercados
