Period,Cell_ID,Cell_Name,XPanel,ZPanel,XUniverse,ZUniverse,XFactor,ZFactor,Condition
1327,10005728,19144_CALI_SUR_CAFETERIA,10523,5,177246,75,16.8437,15,ZZZZZZ
1327,10003470,238_ANTIOQUIA_MINIMERCADOS,18592,10,2749104,866,147.8649,86.6,ZZZZZZ
1327,10003599,5126_EJE_CAFETERO_SUPER_IND_Y_OTRAS_CAD,47170,5,482588,107,10.2308,21.4,ZZZZZZ
1327,10003552,3316_CUCUTA_MINIMERCADOS,3035,5,193695,351,63.8204,70.2,ZZZZZZ
1327,10003608,5461_PEREIRA_AREA_METRO_TRADICIONALES_PEQ,13063,7,3433077,868,262.8092,124,ZZZZZZ
1327,10003609,5463_PEREIRA_AREA_METRO_TRADICIONALES_GRD,6793,4,574178,231,84.525,57.75,ZZZZZZ
1327,10003873,24262_MEDELLIN_CEN_BAJ_TRADICIONALES_PEQ_NM,1,1,187,187,187,187,ZZZZZZ
1327,10003524,2313_MEDELLIN_SUR_MINIMERCADOS,24281,5,2453423,248,101.0429,49.6,ZZZZZZ
1327,10003546,3115_SANTANDERES_SUPER_IND_Y_OTRAS_CAD,97040,5,507760,59,5.2325,11.8,ZZZZZZ
1327,10003888,31532_BUCARAMANGA_AREA_METRO_RESTAURANTES_NM,1,1,472,472,472,472,ZZZZZZ
1327,10003672,11512_ATLANTICO_NOR_RESTAURANTES_NM,1,1,456,456,456,456,ZZZZZZ
1327,10003824,19138_BOGOTA_ORI_CAFETERIA,18648,5,5519164,1161,295.9655,232.2,ZZZZZZ
1327,10003581,4445_BOGOTA_NOR_TRADICIONALES_GRD,26098,7,8266594,1528,316.752,218.2857,ZZZZZZ
1327,10003775,19089_CALI_NOR_TRADICIONALES_GRD_NM,1,1,227,227,227,227,ZZZZZZ
1327,10003834,19150_MEDELLIN_SUR_CAFETERIA,26043,5,288159,418,11.0647,83.6,ZZZZZZ
1327,10003538,2610_MEDELLIN_NOR_LICORERIAS,71317,10,2396687,322,33.6061,32.2,ZZZZZZ
1327,10003809,19120_LLANOS_CAFETERIA_NM,1,1,1634,1634,1634,1634,ZZZZZZ
1327,10003514,2113_MEDELLIN_SUR_SUPER_IND_Y_OTRAS_CAD,49430,2,216932,13,4.3887,6.5,ZZZZZZ
1327,10003535,2429_MEDELLIN_SUR_TRADICIONALES_PEQ,11499,6,3721199,706,323.6107,117.6667,ZZZZZZ
1327,10003476,312_SANTANDERES_DISCOTECA,180437,14,985141,71,5.4598,5.0714,ZZZZZZ
1327,10003901,19158_BUCARAMANGA_CAFETERIA_NM,1,1,789,789,789,789,ZZZZZZ
1327,10003691,19010_PEREIRA_AREA_METRO_RESTAURANTES,7864,5,64965,92,8.2611,18.4,ZZZZZZ
1327,10003844,19173_PACIFICO_CAFETERIA_NM,1,1,1573,1573,1573,1573,ZZZZZZ
1327,10003449,142_BARRANQUILLA_AREA_METRO_TRADICIONALES_PEQ,21621,5,3823195,907,176.8279,181.4,ZZZZZZ
1327,10003556,3434_CUCUTA_TRADICIONALES_PEQ,58985,40,12193350,2131,206.7195,53.275,ZZZZZZ
1327,10003595,4622_BOGOTA_SUR_LICORERIAS,107609,10,11126537,435,103.3978,43.5,ZZZZZZ
1327,10003912,19176_MEDELLIN_CEN_BAJ_CAFETERIA_NM,1,1,346,346,346,346,ZZZZZZ
1327,10003881,31122_BUCARAMANGA_BARES,313302,19,10211676,832,32.5937,43.7895,ZZZZZZ
1327,10003887,31522_CUCUTA_RESTAURANTES_NM,1,1,956,956,956,956,ZZZZZZ
1327,10003706,19025_BOGOTA_ORI_BARES,84974,10,30052219,2134,353.6637,213.4,ZZZZZZ
1327,10003453,148_BARRANQUILLA_ORI_TRADICIONALES_PEQ,40535,11,4051154,472,99.9421,42.9091,ZZZZZZ
1327,10003772,19086_CALI_AREA_METRO_TRADICIONALES_PEQ_NM,1,1,399,399,399,399,ZZZZZZ
1327,10003696,19015_META_RESTAURANTES,77827,9,84075,31,1.0803,3.4444,ZZZZZZ
1327,10003456,163_BARRANQUILLA_OCC_LICORERIAS,64349,5,1822076,92,28.3155,18.4,ZZZZZZ
1327,10003820,19136_BOGOTA_NOR_CAFETERIA,19711,5,2576414,964,130.7095,192.8,ZZZZZZ
1327,10003636,7631_LLANOS_LICORERIAS,190192,7,1801416,227,9.4716,32.4286,ZZZZZZ
1327,10003529,2420_MEDELLIN_NOR_TRADICIONALES_PEQ,16971,8,5713684,3370,336.6734,421.25,ZZZZZZ
1327,10003669,8638_CALI_NOR_LICORERIAS,82529,9,2195332,412,26.6007,45.7778,ZZZZZZ
1327,10003450,144_BARRANQUILLA_AREA_METRO_TRADICIONALES_GRD,13034,5,14787424,1553,1134.5269,310.6,ZZZZZZ
1327,10003537,2432_CHOCO_TRADICIONALES,66539,31,16910590,2222,254.1455,71.6774,ZZZZZZ
1327,10003652,8339_CALI_ORI_MINIMERCADOS,22240,5,266393,59,11.9781,11.8,ZZZZZZ
1327,10003593,4620_BOGOTA_NOR_LICORERIAS,42871,5,2047823,357,47.7671,71.4,ZZZZZZ
1327,10003512,2111_MEDELLIN_CEN_ALT_SUPER_IND_Y_OTRAS_CAD,15078,3,54502,8,3.6147,2.6667,ZZZZZZ
1327,10003568,4121_BOGOTA_OCC_SUPER_IND_Y_OTRAS_CAD,17468,2,2125016,135,121.6519,67.5,ZZZZZZ
1327,10003704,19023_CALI_SUR_RESTAURANTES,5041,4,172115,82,34.143,20.5,ZZZZZZ
1327,10003847,21110_MEDELLIN_NOR_BARES,88283,11,7522910,1002,85.2136,91.0909,ZZZZZZ
1327,10003749,19067_CUNDINAMARCA_TRADICIONALES_NM,1,1,886,886,886,886,ZZZZZZ
1327,10003890,11322_ATLANTICO_NOR_CAFETERIA_NM,1,1,486,486,486,486,ZZZZZZ
1327,10003558,3437_BUCARAMANGA_AREA_METRO_TRADICIONALES_PEQ,48998,23,7778844,1595,158.7584,69.3478,ZZZZZZ
1327,10003736,19056_BUCARAMANGA_AREA_METRO_TRADICIONALES_GRD_NM,1,1,62,62,62,62,ZZZZZZ
1327,10003483,1115_ATLANTICO_SUR_BARES,353191,32,104383198,3529,295.5432,110.2813,ZZZZZZ
1327,10003683,19002_BOGOTA_NOR_RESTAURANTES,88861,13,8796177,2206,98.988,169.6923,ZZZZZZ
1327,10003746,19064_BOGOTA_OCC_TRADICIONALES_GRD_NM,1,1,540,540,540,540,ZZZZZZ
1327,10003605,5327_PEREIRA_AREA_METRO_MINIMERCADOS,12872,4,500020,164,38.8456,41,ZZZZZZ
1327,10003870,24222_MEDELLIN_NOR_TRADICIONALES_GRD_NM,1,1,25,25,25,25,ZZZZZZ
