MbdID,INDEX,MbdName,CategoryName,Numerical Distribution
20083332,CERVEZAS,TOTAL LLANOS,CERVEZAS,0.6823
20003994,CERVEZAS,TOTAL COLOMBIA,CERVEZAS,0.6592
20201426,CERVEZAS,DPTO CESAR LA GUAJIRA MAGDALENA_CERV,CERVEZAS,0.5676
20083679,CERVEZAS,TOTAL MEDELLIN TRADICIONALES PEQUE?,CERVEZAS,0.8879
20126351,CERVEZAS,NEW_TOTAL CARTAGENA METRO_75,CERVEZAS,0.651
20083524,CERVEZAS,PACIFICO TRADICIONALES + CONS LOCAL,CERVEZAS,0.6732
20199304,CERVEZAS,AM BARRANQUILLA ON PREMISE,CERVEZAS,0.523
20083465,CERVEZAS,CENTRO TRADICIONALES + CONS LOCAL,CERVEZAS,0.5986
20003900,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO ANTIG DEF,CERVEZAS,0.8172
20004049,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) ANTIOQUIA-CHOCO,CERVEZAS,1
20201467,CERVEZAS,AM CALI TRADICIONALES_CERV,CERVEZAS,0.7968
20083565,CERVEZAS,TOTAL BOYACA,CERVEZAS,0.7099
20035053,CERVEZAS,CENTRO TRADICIONALES + CONS LOCAL,CERVEZAS,0.5986
20199314,CERVEZAS,AM PEREIRA TRADICIONALES,CERVEZAS,0.827
20035055,CERVEZAS,EJE CAFETERO TRADICIONALES + CONS LOCAL,CERVEZAS,0.6595
20003913,CERVEZAS,TOTAL  MEDELLIN SUR,CERVEZAS,0.7046
20126375,CERVEZAS,NEW_TOTAL CUNDINAMARCA ANTIG DEF_75,CERVEZAS,0.6281
20083729,CERVEZAS,TRADICIONALES + LICORERIAS PACIFICO,CERVEZAS,0.8163
20003978,CERVEZAS,TOTAL ATLANTICO CONVENIENCE,CERVEZAS,1
20003867,CERVEZAS,AUTOSERVICIOS ATLANTICO,CERVEZAS,1
20201469,CERVEZAS,AM CARTAGENA TRADICIONALES_CERV,CERVEZAS,0.8082
20199301,CERVEZAS,AM BOGOTA TRADICIONALES,CERVEZAS,0.7591
20004093,CERVEZAS,TOTAL BOYACA TRAD + CONS LOCAL,CERVEZAS,0.6868
20083474,CERVEZAS,TOTAL CENTRO TRADICIONAL,CERVEZAS,0.7728
20126287,CERVEZAS,NEW_TOTAL VILLAVICENCIO METRO_75,CERVEZAS,0.6536
20083541,CERVEZAS,AUTOSERVICIOS ANTIOQUIA ANTIG DEF,CERVEZAS,1
20083337,CERVEZAS,TOTAL PACIFICO TRADICIONAL,CERVEZAS,0.8029
20003965,CERVEZAS,TOTAL CALI METRO,CERVEZAS,0.6979
20201425,CERVEZAS,DPTO CAQUETA ARAUCA CASANARE PUTUMAYO META_CERV,CERVEZAS,0.691
20083219,CERVEZAS,TRADICIONALES + LICORERIAS ORIENTE ANTIG DEF,CERVEZAS,0.7549
20201492,CERVEZAS,AM BUCARAMANGA TRADICIONALES_CERV,CERVEZAS,0.7792
