Period,Period_Nm,Sample_ID,Sample_Nm,Cell ID,Cell_Name,Cell_Condition,X Universe,Z Universe,X Panel,Z Panel,X Factor,Z Factor,XZ_Ratio,IBD ID,IBD Name
1328,1328,0,nan,10002284,246_ELECTROJAPONESA,CO_CADENA_DE_TIENDAS_I = '246',28,28,28,28,1.0,1.0,1.0,-1,scan
1327,202405,0,nan,10003434,111_ATLANTICO_NOR_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",94524,35,2095,3,45.1009,11.6667,3.865780383,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003435,112_ATLANTICO_DISCOTECA,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8', '13', '20', '23', '44', '47', '70') AND  CO_TIPO_DE_TIENDA_ENH IN ('12')",2465239,177,891932,26,2.7639,6.8077,0.405996151,20227903,11 DISCOTECAS ATLANTICO_ANTIOQUIA
1327,202405,0,nan,10003436,113_BARRANQUILLA_OCC_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",75886,20,11474,3,6.6137,6.6667,0.99205004,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003437,114_BARRANQUILLA_ORI_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('2') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",148829,52,38787,4,3.8371,13.0,0.295161538,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003438,115_ATLANTICO_SUR_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13', '23', '70') AND  CO_ATLANTICO_ENH IN ('2') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",15526,102,8043,4,1.9304,25.5,0.075701961,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003439,116_CARTAGENA_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",322071,42,53498,5,6.0203,8.4,0.716702381,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003440,117_ATLANTICO_NOR_RESTO_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('20', '44', '47') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",910685,91,73072,6,12.4628,15.1667,0.821721271,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003441,131_ATLANTICO_NOR_MINIMERCADOS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('3')",329775,35,18807,3,17.5342,11.6667,1.502927134,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003442,132_BARRANQUILLA_AREA_METRO_MINIMERCADOS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4') AND  CO_TIPO_DE_TIENDA_ENH IN ('3')",39048,29,3217,3,12.135,9.6667,1.255340499,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003443,133_BARRANQUILLA_OCC_MINIMERCADOS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('3'),16848,46,8589,5,1.9615,9.2,0.213206522,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003444,134_BARRANQUILLA_ORI_MINIMERCADOS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('2') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('3'),48433,22,4775,4,10.1412,5.5,1.843854545,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003445,135_ATLANTICO_SUR_MINIMERCADOS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13', '23', '70') AND  CO_ATLANTICO_ENH IN ('2') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('3')",1514795,224,65404,12,23.1603,18.6667,1.240728142,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003446,136_CARTAGENA_MINIMERCADOS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('3'),741627,146,60079,8,12.3442,18.25,0.676394521,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003447,137_ATLANTICO_NOR_RESTO_MINIMERCADOS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('20', '44', '47') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('3')",185601,379,16327,6,11.3671,63.1667,0.179953995,20227900,18 MINIMERCADOS ATLANTICO
1327,202405,0,nan,10003448,141_ATLANTICO_NOR_TRADICIONALES,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1')",15383100,1410,19909,4,772.6617,352.5,2.191948085,20227892,2 TRADICIONAL ATLANTICO RURAL
1327,202405,0,nan,10003449,142_BARRANQUILLA_AREA_METRO_TRADICIONALES_PEQ,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_TAMANO_ENH_75 IN ('1') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1')",4460177,902,25363,5,175.8531,180.4,0.974795455,20227877,31 TRADICIONAL ATLANTICO PEQUENAS MANEJ
1327,202405,0,nan,10003450,144_BARRANQUILLA_AREA_METRO_TRADICIONALES_GRD,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_TAMANO_ENH_75 IN ('3') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1')",17608800,1543,15621,5,1127.2215,308.6,3.652694426,20229022,40 TRADICIONAL METRO GRANDES ATLA+ANTIO
1327,202405,0,nan,10003451,145_BARRANQUILLA_OCC_TRADICIONALES_PEQ,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_TAMANO_ENH_75 IN ('1') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1'),20107000,590,122469,17,164.1797,34.7059,4.73059912,20227877,31 TRADICIONAL ATLANTICO PEQUENAS MANEJ
1327,202405,0,nan,10003452,147_BARRANQUILLA_OCC_TRADICIONALES_GRD,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_TAMANO_ENH_75 IN ('3') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1'),8200742,1207,47458,15,172.7993,80.4667,2.147463485,20229022,40 TRADICIONAL METRO GRANDES ATLA+ANTIO
1327,202405,0,nan,10003453,148_BARRANQUILLA_ORI_TRADICIONALES_PEQ,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('2') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('4') AND  CO_TAMANO_ENH_75 IN ('1') AND  CO_MANEJANTE_ENH_CERVEZAS IN ('1'),5917272,459,60883,11,97.1895,41.7273,2.329158608,20227877,31 TRADICIONAL ATLANTICO PEQUENAS MANEJ
1327,202405,0,nan,10003454,161_ATLANTICO_NOR_LICORERIAS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('6')",4696592,263,55155,6,85.152,43.8333,1.942632656,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003455,162_BARRANQUILLA_AREA_METRO_LICORERIAS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4') AND  CO_TIPO_DE_TIENDA_ENH IN ('6')",3240490,128,210252,7,15.4124,18.2857,0.842866283,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003456,163_BARRANQUILLA_OCC_LICORERIAS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('6'),2280563,97,76389,5,29.8544,19.4,1.538886598,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003457,164_BARRANQUILLA_ORI_LICORERIAS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_ZONA_ENH_RI IN ('2') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('6'),3124882,218,31787,5,98.3065,43.6,2.254736239,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003458,165_ATLANTICO_SUR_LICORERIAS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13', '23', '70') AND  CO_ATLANTICO_ENH IN ('2') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('6')",2435991,469,67683,9,35.991,52.1111,0.690658996,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003459,166_CARTAGENA_LICORERIAS,CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('13') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('1') AND  CO_TAMPIO_ENH IN ('2') AND  CO_TIPO_DE_TIENDA_ENH IN ('6'),5646726,243,51535,6,109.5689,40.5,2.705404938,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003460,167_ATLANTICO_NOR_RESTO_LICORERIAS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('20', '44', '47') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3', '4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('6')",15996000,728,390927,25,40.918,29.12,1.405151099,20227874,12 LICORERIAS ATLANTICO
1327,202405,0,nan,10003461,191_ANTIOQUIA_KIOSKOS,CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_TIPO_DE_TIENDA_ENH IN ('9'),10032400,2723,50119,14,200.1703,194.5,1.029153213,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003462,192_CHOCO_KIOSKOS,CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('27') AND  CO_TIPO_DE_TIENDA_ENH IN ('9'),3648,188,1757,5,2.0767,37.6,0.055231383,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003463,193_ATLANTICO_KIOSKOS,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8', '13', '20', '23', '44', '47', '70') AND  CO_TIPO_DE_TIENDA_ENH IN ('9')",31565000,2691,333610,52,94.6164,51.75,1.828336232,20227891,5 KIOSKOS ATLANTICO_SANTANDERES
1327,202405,0,nan,10003464,194_CENTRO_KIOSKOS,"CO_AREA_NIELSEN_ENH IN ('6') AND  CO_DPTO_ENH IN ('41', '73') AND  CO_TIPO_DE_TIENDA_ENH IN ('9')",1281494,787,15004,9,85.4053,87.4444,0.976681183,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003465,195_CUNDINAMARCA_KIOSKOS,"CO_AREA_NIELSEN_ENH IN ('4') AND  CO_DPTO_ENH IN ('11', '25') AND  CO_TIPO_DE_TIENDA_ENH IN ('9')",8415071,2186,23800,11,353.5608,198.7273,1.779125465,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003466,196_BOYACA_KIOSKOS,CO_AREA_NIELSEN_ENH IN ('4') AND  CO_DPTO_ENH IN ('15') AND  CO_TIPO_DE_TIENDA_ENH IN ('9'),226288,335,42494,18,5.3251,18.6111,0.286124947,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003467,197_EJE_CAFETERO_KIOSKOS,"CO_AREA_NIELSEN_ENH IN ('5') AND  CO_DPTO_ENH IN ('17', '63', '66') AND  CO_TIPO_DE_TIENDA_ENH IN ('9')",1091300,1972,5097,6,214.1041,328.6667,0.651432287,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003468,218_ANTIOQUIA_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",1370603,100,27731,4,49.4232,25.0,1.976928,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003469,219_MEDELLIN_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,"CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3') AND  CO_TIPO_DE_TIENDA_ENH IN ('1') AND  CO_CADENA_DE_TIENDAS_I IN ('1', '2')",265805,45,19709,5,13.4861,9.0,1.498455556,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT
1327,202405,0,nan,10003470,238_ANTIOQUIA_MINIMERCADOS,"CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('3')",4047355,866,27371,10,147.8649,86.6,1.707446882,20231336,51 MINIMERCADOS ANTIOQUIA
1327,202405,0,nan,10003471,239_MEDELLIN_AREA_METRO_MINIMERCADOS,CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3') AND  CO_TIPO_DE_TIENDA_ENH IN ('3'),2021822,324,10440,7,193.6497,46.2857,4.183791106,20231336,51 MINIMERCADOS ANTIOQUIA
1327,202405,0,nan,10003472,268_ANTIOQUIA_LICORERIAS,"CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('6')",2537811,510,75132,9,33.778,56.6667,0.596082002,20231327,47 LICORERIAS ANTIOQUIA
1327,202405,0,nan,10003473,269_MEDELLLIN_AREA_METRO_LICORERIAS,CO_AREA_NIELSEN_ENH IN ('2') AND  CO_DPTO_ENH IN ('5') AND  CO_AREA_METRO_ENH IN ('1') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('3') AND  CO_TIPO_DE_TIENDA_ENH IN ('6'),2242261,395,36745,5,61.022,79.0,0.77243038,20231327,47 LICORERIAS ANTIOQUIA
1327,202405,0,nan,10003474,298_LLANOS_KIOSKOS,"CO_AREA_NIELSEN_ENH IN ('7') AND  CO_DPTO_ENH IN ('18', '81', '85') AND  CO_TIPO_DE_TIENDA_ENH IN ('9')",1564542,212,23220,6,67.3776,35.3333,1.906915007,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003475,299_META_KIOSKOS,CO_AREA_NIELSEN_ENH IN ('7') AND  CO_DPTO_ENH IN ('50') AND  CO_TIPO_DE_TIENDA_ENH IN ('9'),690377,181,40901,4,16.879,45.25,0.373016575,20227879,30 KIOSKOS SIN ATLANTICO-SANTANDERES
1327,202405,0,nan,10003476,312_SANTANDERES_DISCOTECA,"CO_AREA_NIELSEN_ENH IN ('3') AND  CO_DPTO_ENH IN ('54', '68') AND  CO_TIPO_DE_TIENDA_ENH IN ('12')",1002429,71,183601,14,5.4598,5.0714,1.076586347,20227885,29 DISCOTECAS RESTO
1327,202405,0,nan,10003477,512_EJE_CAFETERO_DISCOTECA,"CO_AREA_NIELSEN_ENH IN ('5') AND  CO_DPTO_ENH IN ('17', '63', '66') AND  CO_TIPO_DE_TIENDA_ENH IN ('12')",1594984,219,49957,6,31.9268,36.5,0.874706849,20227885,29 DISCOTECAS RESTO
1327,202405,0,nan,10003478,612_CENTRO_DISCOTECA,"CO_AREA_NIELSEN_ENH IN ('6') AND  CO_DPTO_ENH IN ('41', '73') AND  CO_TIPO_DE_TIENDA_ENH IN ('12')",1609933,161,71260,7,22.5923,23.0,0.982273913,20227885,29 DISCOTECAS RESTO
1327,202405,0,nan,10003479,1111_ATLANTICO_NOR_BARES,"CO_AREA_NIELSEN_ENH IN ('1') AND  CO_DPTO_ENH IN ('8') AND  CO_ATLANTICO_ENH IN ('1') AND  CO_AREA_METRO_ENH IN ('2') AND  CO_CAPITAL_ENH IN ('2') AND  CO_TAMPIO_ENH IN ('4', '5', '6', '7') AND  CO_TIPO_DE_TIENDA_ENH IN ('11')",32420500,1137,337244,18,96.1334,63.1667,1.521899988,20231337,46 BARES ATLANTICO RURAL
