MbdID,MbdName,Cell_ID,CategoryCode,CategoryName,Baseline_Sales,Baseline_CellImportance,BAU_XFactor,VUE_XFactor,ADJ_XFactor,UnprojectedSales,VUE_ProjectedSales,ADJ_ProjectedSales,VUE_SalesImpact,ADJ_SalesImpact,CellCatTest,OutOfTarget,MBDCatDiag
20003897,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,10003591,143606380,CERVEZAS,1914537.504,0.0255,214.4698,215.7748,215.7748,8926.84,1926187.12,1926187.12,0.0061,0.0061,0,0,Normal
20004024,CONS LOCAL PACIFICO,10003724,143606380,CERVEZAS,1561489.817,0.2215,78.9327,78.2606,78.2606,19782.55,1548194.23,1548194.23,-0.0085,-0.0085,0,0,Normal
20083412,CONSUMO LOCAL COLOMBIA,10092652,143606380,CERVEZAS,313551.3404,0.0035,84.9072,84.524,84.524,3692.87,312136.14,312136.14,-0.0045,-0.0045,0,0,Normal
20083535,TOTAL COLOMBIA,10003438,143606380,CERVEZAS,800.6316285,0.0,1.9304,1.9304,1.9304,414.75,800.63,800.63,-0.0,-0.0,0,0,Normal
20003867,AUTOSERVICIOS ATLANTICO,10003447,143606380,CERVEZAS,14547.49003,0.0052,11.0972,11.3671,11.3671,1310.92,14901.36,14901.36,0.0243,0.0243,0,0,Normal
20201420,TOTAL 10 CIUDADES METRO_CERV_SCAN,10003539,143606380,CERVEZAS,120378.7669,0.0013,48.0267,49.3608,49.3608,2506.5,123722.85,123722.85,0.0278,0.0278,0,0,Normal
20126318,NEW_TOTAL CALI_75,10003651,143606380,CERVEZAS,125142.7676,0.0172,91.9275,95.1532,95.1532,1361.32,129533.95,129533.95,0.0351,0.0351,0,0,Normal
20004089,CONSUMO LOCAL COLOMBIA ANTIG DEF,10003723,143606380,CERVEZAS,620781.724,0.0074,38.8239,37.9506,37.9506,15989.68,606817.95,606817.95,-0.0225,-0.0225,0,0,Normal
20126311,NEW_TOTAL PACIFICO ANTIG DEF_75,10003662,143606380,CERVEZAS,1244602.977,0.059,213.3738,213.3738,213.3738,5832.97,1244602.97,1244602.97,-0.0,-0.0,0,0,Normal
20126378,NEW_TOTAL IBAGUE METROPOLITANA_75,10003624,143606380,CERVEZAS,151762.7703,0.0853,23.4453,23.7164,23.7164,6473.06,153517.68,153517.68,0.0116,0.0116,0,0,Normal
20201478,AM IBAGUE TRADICIONALES_CERV,10003622,143606380,CERVEZAS,219730.5685,0.3024,59.357,59.8966,59.8966,3701.85,221728.23,221728.23,0.0091,0.0091,0,0,Normal
20083412,CONSUMO LOCAL COLOMBIA,10003706,143606380,CERVEZAS,2046377.583,0.0231,353.6637,353.8294,353.8294,5786.22,2047334.75,2047334.75,0.0005,0.0005,0,0,Normal
20126285,NEW_TOTAL COLOMBIA ANTIG DEF_75,10003442,143606380,CERVEZAS,1982.051065,0.0,12.5534,12.135,12.135,157.89,1916.0,1916.0,-0.0333,-0.0333,0,0,Normal
20003902,TRADICIONALES + LICORERIAS ATLANTICO,10003453,143606380,CERVEZAS,521485.6952,0.0261,99.9421,97.1895,97.1895,5217.88,507123.15,507123.15,-0.0275,-0.0275,0,0,Normal
20003961,TOTAL COLOMBIA METROPOLITANA,10003449,143606380,CERVEZAS,386046.9207,0.0042,176.8279,175.8531,175.8531,2183.18,383918.97,383918.97,-0.0055,-0.0055,0,0,Normal
20035052,LLANOS TRADICIONALES + CONS LOCAL,10003634,143606380,CERVEZAS,565195.5552,0.0725,130.3094,132.1495,132.1495,4337.34,573177.31,573177.31,0.0141,0.0141,0,0,Normal
20003996,TOTAL ANTIOQUIA-CHOCO,10003468,143606380,CERVEZAS,84952.48291,0.0044,48.929,49.4232,49.4232,1736.24,85810.54,85810.54,0.0101,0.0101,0,0,Normal
20126393,NEW_TOTAL SANTANDERES CONVENIENCE_75,10003551,143606380,CERVEZAS,430187.2718,0.5339,100.2205,100.4512,100.4512,4292.41,431177.74,431177.74,0.0023,0.0023,0,0,Normal
20201389,TOTAL 14 MERCADOS DEPARTAMENTOS_CERV,10003587,143606380,CERVEZAS,1696593.027,0.0098,213.9898,213.4856,213.4856,7928.38,1692594.96,1692594.96,-0.0024,-0.0024,0,0,Normal
20035059,PACIFICO TRADICIONALES + CONS LOCAL,10003731,143606380,CERVEZAS,4837.794837,0.0003,47.7823,43.5662,43.5662,101.25,4411.08,4411.08,-0.0882,-0.0882,0,0,Normal
20083335,TOTAL SANTANDERES TRADICIONAL,10003559,143606380,CERVEZAS,239861.8957,0.0317,129.028,127.869,127.869,1858.99,237707.19,237707.19,-0.009,-0.009,0,0,Normal
20083478,LICORERIAS COLOMBIA,10003624,143606380,CERVEZAS,151762.7703,0.0155,23.4453,23.7164,23.7164,6473.06,153517.68,153517.68,0.0116,0.0116,0,0,Normal
20083715,TRADICIONALES + CONS LOCAL COLOMBIA,10003705,143606380,CERVEZAS,3793769.478,0.0241,287.4103,287.8433,287.8433,13199.84,3799485.51,3799485.51,0.0015,0.0015,0,0,Normal
20035055,EJE CAFETERO TRADICIONALES + CONS LOCAL,10003692,143606380,CERVEZAS,7564.941319,0.0011,14.3645,14.4323,14.4323,526.64,7600.63,7600.63,0.0047,0.0047,0,0,Normal
20126381,NEW_TOTAL BARRANQUILLA_75,10003453,143606380,CERVEZAS,521485.6952,0.0624,99.9421,97.1895,97.1895,5217.88,507123.15,507123.15,-0.0275,-0.0275,0,0,Normal
20083729,TRADICIONALES + LICORERIAS PACIFICO,10003662,143606380,CERVEZAS,1244602.977,0.0931,213.3738,213.3738,213.3738,5832.97,1244602.97,1244602.97,-0.0,-0.0,0,0,Normal
20083477,AUTOSERVICIOS PACIFICO,10003642,143606380,CERVEZAS,62082.40273,0.0342,24.6822,25.1964,25.1964,2515.27,63375.75,63375.75,0.0208,0.0208,0,0,Normal
20004032,TOTAL COLOMBIA TRADICIONAL,10003449,143606380,CERVEZAS,386046.9207,0.0056,176.8279,175.8531,175.8531,2183.18,383918.97,383918.97,-0.0055,-0.0055,0,0,Normal
20083226,TOTAL CUNDI_BOY CONVENIENCE,10003577,143606380,CERVEZAS,53207.80405,0.0241,41.7489,42.9395,42.9395,1274.47,54725.1,54725.1,0.0285,0.0285,0,0,Normal
20003897,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,10003660,143606380,CERVEZAS,245865.7697,0.0033,118.9278,118.7059,118.7059,2067.35,245406.64,245406.64,-0.0019,-0.0019,0,0,Normal
20126285,NEW_TOTAL COLOMBIA ANTIG DEF_75,10003586,143606380,CERVEZAS,2523776.614,0.0142,310.9849,314.2105,314.2105,8115.43,2549953.32,2549953.32,0.0104,0.0104,0,0,Normal
20083214,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA,10003641,143606380,CERVEZAS,45194.51549,0.0089,12.2662,12.5977,12.5977,3684.48,46415.97,46415.97,0.027,0.027,0,0,Normal
20201420,TOTAL 10 CIUDADES METRO_CERV_SCAN,10003557,143606380,CERVEZAS,294014.3798,0.0031,72.9789,74.6914,74.6914,4028.76,300913.72,300913.72,0.0235,0.0235,0,0,Normal
20199119,TOTAL 14 MERCADOS DEPARTAMENTOS,10003484,143606380,CERVEZAS,2386324.064,0.0138,124.4008,124.0248,124.0248,19182.55,2379111.93,2379111.93,-0.003,-0.003,0,0,Normal
20004037,TOTAL ANTIOQUIA-CHOCO TRADICIONAL,10003532,143606380,CERVEZAS,149984.9006,0.0206,80.1125,80.7665,80.7665,1872.18,151209.43,151209.43,0.0082,0.0082,0,0,Normal
20201427,DPTO BOLIVAR CORDOBA SUCRE_CERV,10003446,143606380,CERVEZAS,60648.40889,0.0036,12.4287,12.3442,12.3442,4879.71,60236.12,60236.12,-0.0068,-0.0068,0,0,Normal
20003875,TOTAL ORIENTE ANTIG DEF,10003548,143606380,CERVEZAS,8474.581881,0.0003,3.6213,3.7662,3.7662,2340.2,8813.66,8813.66,0.04,0.04,0,0,Normal
