MbdID,MbdName,CategoryCode,CategoryName,Baseline_Sales,VUE_ProjectedSales,ADJ_ProjectedSales,VUE_SalesImpact,ADJ_SalesImpact,Numerical Distribution,MBD Type,Target,OutOfTarget
20003859,TOTAL COLOMBIA ANTIG DEF,143606380,CERVEZAS,164409164.4855372,164663942.84,164663942.84,0.0015,0.0015,0.6553,MAJOR,0.1,0
20003860,TOTAL ANTIOQUIA ANTIG DEF,143606380,CERVEZAS,16275484.754868,16243098.93,16243098.93,-0.002,-0.002,0.7831,MAJOR,0.1,0
20003863,CONS LOCAL ANTIOQUIA ANTIG DEF,143606380,CERVEZAS,8783308.42861,8767291.07,8767291.07,-0.0018,-0.0018,0.6854,MINOR,0.15,0
20003864,AUTOSERVICIOS ANTIOQUIA ANTIG DEF,143606380,CERVEZAS,1111993.894418,1112482.86,1112482.86,0.0004,0.0004,1.0,MINOR,0.15,0
20003865,TOTAL ATLANTICO,143606380,CERVEZAS,44348068.9873225,44319521.99,44319521.99,-0.0006,-0.0006,0.5643,MAJOR,0.1,0
20003866,LICORERIAS ATLANTICO,143606380,CERVEZAS,3036005.3953,3069200.74,3069200.74,0.0109,0.0109,1.0,MINOR,0.15,0
20003867,AUTOSERVICIOS ATLANTICO,143606380,CERVEZAS,346456.7273955,345726.75,345726.75,-0.0021,-0.0021,1.0,MINOR,0.15,0
20003869,CONS LOCAL ATLANTICO,143606380,CERVEZAS,24043104.081827,24034078.33,24034078.33,-0.0004,-0.0004,0.5955,MAJOR,0.1,0
20003870,TOTAL CENTRO ANTIG DEF,143606380,CERVEZAS,17527019.8742039,17555009.84,17555009.84,0.0016,0.0016,0.6571,MAJOR,0.1,0
20003873,AUTOSERVICIOS CENTRO ANTIG DEF,143606380,CERVEZAS,409811.9120749,413885.34,413885.34,0.0099,0.0099,1.0,MINOR,0.15,0
20003874,CONS LOCAL CENTRO ANTIG DEF,143606380,CERVEZAS,7383911.405489,7439388.68,7439388.68,0.0075,0.0075,0.4682,MINOR,0.15,0
20003875,TOTAL ORIENTE ANTIG DEF,143606380,CERVEZAS,26359686.2715129,26427389.8,26427389.8,0.0026,0.0026,0.6813,MAJOR,0.1,0
20003878,AUTOSERVICIOS ORIENTE ANTIG DEF,143606380,CERVEZAS,981927.0585999,986580.28,986580.28,0.0047,0.0047,1.0,MINOR,0.15,0
20003879,CONS LOCAL ORIENTE ANTIG DEF,143606380,CERVEZAS,13825638.482943,13856937.0,13856937.0,0.0023,0.0023,0.5869,MAJOR,0.1,0
20003880,TOTAL CUNDINAMARCA ANTIG DEF,143606380,CERVEZAS,40326067.26978,40637904.46,40637904.46,0.0077,0.0077,0.6281,MAJOR,0.1,0
20003881,AUTOSERVICIOS CUNDINAMARCA ANTIG DEF,143606380,CERVEZAS,1386652.89469,1393680.6700000002,1393680.6700000002,0.0051,0.0051,1.0,MINOR,0.15,0
20003884,CONS LOCAL C/MARCA ANTIG DEF,143606380,CERVEZAS,23810048.37405,23974087.71,23974087.71,0.0069,0.0069,0.5216,MAJOR,0.1,0
20003885,TOTAL PACIFICO ANTIG DEF,143606380,CERVEZAS,19572837.3278499,19481017.82,19481017.82,-0.0047,-0.0047,0.6932,MAJOR,0.1,0
20003886,AUTOSERVICIOS PACIFICO ANTIG DEF,143606380,CERVEZAS,559686.419879,568454.76,568454.76,0.0157,0.0157,1.0,MINOR,0.15,0
20003889,CONS LOCAL PACIFICO ANTIG DEF,143606380,CERVEZAS,6577014.4498309,6517555.54,6517555.54,-0.009,-0.009,0.4663,MINOR,0.15,0
20003897,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,143606380,CERVEZAS,75189610.35573,75253793.85,75253793.85,0.0009,0.0009,0.7309,MAJOR,0.1,0
20003898,TRADICIONALES + LICORERIAS ORIENTE ANTIG DEF,143606380,CERVEZAS,11552120.72997,11583872.52,11583872.52,0.0027,0.0027,0.7549,MAJOR,0.1,0
20003899,TRADICIONALES + LICORERIAS C/MARCA ANTIG DEF,143606380,CERVEZAS,15129366.00104,15270136.08,15270136.08,0.0093,0.0093,0.7773,MAJOR,0.1,0
20003900,TRADICIONALES + LICORERIAS PACIFICO ANTIG DEF,143606380,CERVEZAS,12436136.458139999,12395007.52,12395007.52,-0.0033,-0.0033,0.8172,MAJOR,0.1,0
20003901,TRADICIONALES + LICORERIAS ANTIOQUIA ANTIG DEF,143606380,CERVEZAS,6380182.43184,6363325.0,6363325.0,-0.0026,-0.0026,0.8814,MINOR,0.15,0
20003902,TRADICIONALES + LICORERIAS ATLANTICO,143606380,CERVEZAS,19958508.1781,19939716.91,19939716.91,-0.0009,-0.0009,0.5366,MAJOR,0.1,0
20003903,TRADICIONALES + LICORERIAS CENTRO ANTIG DEF,143606380,CERVEZAS,9733296.556640001,9701735.82,9701735.82,-0.0032,-0.0032,0.8028,MINOR,0.15,0
20003904,TOTAL  CALI,143606380,CERVEZAS,6608915.337079,6562511.73,6562511.73,-0.007,-0.007,0.6897,MINOR,0.15,0
20003905,TOTAL  CALI   ORIENTE,143606380,CERVEZAS,2895900.8577,2871253.1799999997,2871253.1799999997,-0.0085,-0.0085,0.7621,MINOR,0.15,0
20003906,TOTAL  CALI   SUR,143606380,CERVEZAS,392198.620079,392624.29000000004,392624.29000000004,0.0011,0.0011,0.6446,VERY MINOR,0.2,0
20003907,TOTAL  CALI   NORTE,143606380,CERVEZAS,3320815.8593,3298634.26,3298634.26,-0.0067,-0.0067,0.6493,MINOR,0.15,0
20003908,TOTAL BARRANQUILLA,143606380,CERVEZAS,7765620.999593,7742072.55,7742072.55,-0.003,-0.003,0.6423,MINOR,0.15,0
20003909,TOTAL BARRANQUILLA ORIENTE,143606380,CERVEZAS,3781865.676763,3776521.8,3776521.8,-0.0014,-0.0014,0.6333,MINOR,0.15,0
20003910,TOTAL BARRANQUILLA OCCIDENTE,143606380,CERVEZAS,3983755.32283,3965550.75,3965550.75,-0.0046,-0.0046,0.6546,MINOR,0.15,0
20003911,TOTAL  MEDELLIN,143606380,CERVEZAS,7147010.617788,7133598.61,7133598.61,-0.0019,-0.0019,0.7758,MINOR,0.15,0
20003912,TOTAL  MEDELLIN CENTRO,143606380,CERVEZAS,2964292.961628,2967440.95,2967440.95,0.0011,0.0011,0.7566,MINOR,0.15,0
20003913,TOTAL  MEDELLIN SUR,143606380,CERVEZAS,1442607.12338,1436769.19,1436769.19,-0.004,-0.004,0.7046,MINOR,0.15,0
20003914,TOTAL  MEDELLIN NORTE,143606380,CERVEZAS,2740110.53278,2729388.47,2729388.47,-0.0039,-0.0039,0.8337,MINOR,0.15,0
20003915,TOTAL  BOGOTA,143606380,CERVEZAS,27741737.96512,27832694.07,27832694.07,0.0033,0.0033,0.6213,MAJOR,0.1,0
20003916,TOTAL  BOGOTA  OCCIDENTE,143606380,CERVEZAS,6539948.89181,6541126.88,6541126.88,0.0002,0.0002,0.619,MINOR,0.15,0
20003917,TOTAL  BOGOTA  SUR,143606380,CERVEZAS,10554634.14221,10611545.370000001,10611545.370000001,0.0054,0.0054,0.6614,MAJOR,0.1,0
20003918,TOTAL  BOGOTA  ORIENTE,143606380,CERVEZAS,3902684.0331800003,3903939.61,3903939.61,0.0003,0.0003,0.567,MINOR,0.15,0
