INDEX,CHANNEL,SAMPLE,IBD_ID,IBD_Name,Cell_ID,Cell_Name,NielsenArea,StoreTypeChannel,StoreType,Handler,BAU_XPanel,BAU_ZPanel,BAU_XUniverse,BAU_ZUniverse,BAU_XFactor,BAU_ZFactor,BAU_XZRatio,VUE_XUniverse,VUE_ZUniverse,VUE_XPanel,VUE_ZPanel,VUE_XFactor,VUE_ZFactor,VUE_XZRatio,VUE_XZDistance,XZ Proposed Distance,ADJ_XFactor,ADJ_XUniverse,VAR_XUniverse (BAU vs VUE),VAR_XUniverse (BAU vs ADJ),VAR_XFactor (BAU vs VUE),VAR_XFactor (BAU vs ADJ),VAR_ZUniverse,BAU_N Area-Channel Cell Weight,BAU_NSPC Area-Channel Cell Weight,VUE_N Area-Channel Cell Weight,VUE_NSPC Area-Channel Cell Weight,ADJ_NSPC Area-Channel Cell Weight,N Area-Channel Cell Weight diff (BAU vs VUE),NSPC Area-Channel Cell Weight diff (BAU vs VUE),NSPC Area-Channel Cell Weight diff (BAU vs ADJ),NSPC Area-Channel Cell Weight diff (VUE vs ADJ),Average BAU Universe,Average BAU Panel,Average VUE Universe,Average VUE Panel,Average ADJ Universe,DTest,NSPCTest,XFTest,SignTest,CellDiagnostic
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003437,114_BARRANQUILLA_ORI_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,88982,4,341433,52,3.8371,13.0,0.2951615384615385,148829,52,38787,4,3.8371,13.0,0.2952,-4.776,-4.776,3.8371,148829,-0.5641,-0.5641,0.0,0.0,0.0,0.042379788101059496,0.054048000243145,0.04220779220779221,0.03323968625884963,0.03323968625884963,0.0001719958932672877,0.020808313984295376,0.020808313984295376,0.0,6566.019,22245.5,2862.096,9696.75,2862.096,1,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003616,6130_IBAGUE_SUPER_IND_Y_OTRAS_CAD,6:centro,Autoservicios,1:supermercados,1,12630,3,168247,22,13.3212,7.3333,1.816535529706953,96120,22,7215,3,13.3212,7.3333,1.8165,0.7786,0.7786,13.3212,96120,-0.4287,-0.4287,0.0,0.0,0.0,0.014844804318488529,0.04703908493439154,0.01478494623655914,0.03917020456366299,0.03917020456366299,5.985808192938806e-05,0.007868880370728547,0.007868880370728547,0.0,7647.591,4210.0,4369.091,2405.0,4369.091,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003547,3116_CUCUTA_SUPER_IND_Y_OTRAS_CAD,3:santanderes,Autoservicios,1:supermercados,1,45863,5,201894,33,4.4021,6.6,0.6669848484848485,229307,33,52090,5,4.4021,6.6,0.667,-1.1164,-1.1164,4.4021,229307,0.1358,0.1358,0.0,0.0,0.0,0.01740506329113924,0.02275243443633141,0.017286537454164485,0.02525930478997854,0.02525930478997854,0.00011852583697475466,-0.0025068703536471303,-0.0025068703536471303,0.0,6118.0,9172.6,6948.697,10418.0,6948.697,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003436,113_BARRANQUILLA_OCC_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,17670,3,116864,20,6.6137,6.6667,0.9920500397498012,75886,20,11474,3,6.6137,6.6667,0.9921,-0.0139,-0.0139,6.6137,75886,-0.3506,-0.3506,0.0,0.0,0.0,0.016299918500407497,0.018499282437300722,0.016233766233766232,0.016948490088887668,0.016948490088887668,6.61522666412645e-05,0.001550792348413054,0.001550792348413054,0.0,5843.2,5890.0,3794.3,3824.667,3794.3,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003644,8137_CALI_NOR_SUPER_IND_Y_OTRAS_CAD,8:pacifico,Autoservicios,1:supermercados,1,18843,3,1070427,47,56.8077,15.6667,3.6260156893283204,642834,47,11315,3,56.8077,15.6667,3.626,1.2544,1.2544,56.8077,642834,-0.3995,-0.3995,0.0,0.0,0.0,0.024127310061601643,0.0896802532230332,0.02399183256763655,0.06928138696845945,0.06928138696845945,0.00013547749396509295,0.020398866254573753,0.020398866254573753,0.0,22775.043,6281.0,13677.319,3771.667,13677.319,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227901,27 BAR PACIFICO,10003724,19043_CALI_NOR_BARES,8:pacifico,Consumo Local,11:bar,1,235152,22,18561185,1057,78.9327,48.0455,1.6428739424087584,18849800,1048,240860,22,78.2606,47.6364,1.6429,1.8354,1.8354,78.2606,18849800,0.0155,0.0155,-0.0085,-0.0085,-0.0085,0.08585120207927226,0.20184896419269213,0.08571194896540443,0.20979924926020216,0.20979924926020216,0.0001392531138678238,-0.007950285067510027,-0.007950285067510027,0.0,17560.251,10688.727,17986.45,10948.182,17986.45,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003513,2112_MEDELLIN_CEN_BAJ_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,16219,3,52743,11,3.2519,3.6667,0.8868737556931301,64620,11,19871,3,3.2519,3.6667,0.8869,-0.2209,-0.2209,3.2519,64620,0.2252,0.2252,0.0,0.0,0.0,0.004066543438077634,0.0034368437363729793,0.004063538973032878,0.0042799231335872495,0.0042799231335872495,3.0044650447562035e-06,-0.0008430793972142702,-0.0008430793972142702,0.0,4794.818,5406.333,5874.545,6623.667,5874.545,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003486,1121_BARRANQUILLA_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,2561,3,47218,9,18.4373,3.0,6.145766666666667,33801,9,1833,3,18.4373,3.0,6.1458,1.4502,1.4502,18.4373,33801,-0.2842,-0.2842,0.0,0.0,0.0,0.007334963325183374,0.007474492727653217,0.007305194805194805,0.007549164714103946,0.007549164714103946,2.9768519988569025e-05,-7.46719864507285e-05,-7.46719864507285e-05,0.0,5246.444,853.667,3755.667,611.0,3755.667,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003546,3115_SANTANDERES_SUPER_IND_Y_OTRAS_CAD,3:santanderes,Autoservicios,1:supermercados,1,97040,5,507760,59,5.2325,11.8,0.44343220338983047,526023,60,98854,5,5.3212,12.0,0.4434,-2.8066,-2.8066,5.3212,526023,0.036,0.036,0.017,0.017,0.0169,0.031118143459915613,0.0572219883175906,0.03143006809848088,0.057944045683467504,0.057944045683467504,-0.00031192463856526825,-0.0007220573658769033,-0.0007220573658769033,0.0,8606.102,19408.0,8767.05,19770.8,8767.05,0,0,0,0,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003569,4122_BOGOTA_SUR_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,197964,5,710546,114,3.5893,22.8,0.15742543859649122,565306,115,156128,5,3.6208,23.0,0.1574,-11.9679,-11.9679,3.6208,565306,-0.2044,-0.2044,0.0088,0.0088,0.0088,0.02024866785079929,0.02434948838714256,0.020239352340725096,0.025117376837074684,0.025117376837074684,9.315510074194011e-06,-0.0007678884499321241,-0.0007678884499321241,0.0,6232.86,39592.8,4915.704,31225.6,4915.704,1,1,0,1,Anomalous
